,end_station_name,end_station_id
0,Rosslyn Metro / Wilson Blvd & Ft Myer Dr,31015.0
3,Wilson Blvd. & N. Vermont St.,31926.0
14,Connecticut Ave & Newark St NW / Cleveland Park,31305.0
34,3rd & M St NE,31627.0
50,4th St & K St NW,31642.0
95,Lynn St & 19th St North,31014.0
96,7th & T St NW,31109.0
100,14th & Rhode Island Ave NW,31203.0
106,Lee Hwy & N Adams St,31030.0
190,15th & Euclid St  NW,31117.0
313,4th St & G St SW,31666.0
344,1st & N St  SE,31209.0
347,10th & Florida Ave NW,31120.0
383,16th & Harvard St NW,31103.0
389,Utah St & 11th St N,31049.0
426,Tysons One Pl & Chain Bridge Rd,32203.0
549,Columbia Pike & S Oakland St,31058.0
573,14th & Luzon St NW,31416.0
595,Reston Town Center Transit Station,32214.0
687,Lee Hwy & N Woodstock St,31900.0
745,GMU / Fairfax Dr & Kenmore St,31040.0
767,1st & K St SE,31628.0
832,Shirlington Transit Center / Quincy St & Randolph St,31076.0
910,Kenilworth Terrace & Hayes St. NE,31717.0
1114,Braddock Rd Metro,31047.0
1126,Columbia Pike & S Taylor St,31923.0
1202,Kenmore St & 24th St S,31061.0
1225,31st & Water St NW,31293.0
1314,Lee Hwy & N Monroe St,31092.0
1337,Lee Hwy & N Cleveland St,31079.0
1389,19th & K St NW,31253.0
1622,George Mason High School / Haycock Rd & Leesburg Pike,32600.0
1797,Sunset Hills Rd & Isaac Newton Square,32220.0
1851,Lee Hwy & N Kirkwood Rd,31094.0
1860,Army Navy Dr & S Joyce St,31006.0
1912,Troy St & 26th St S,31056.0
2542,21st St & Constitution Ave NW,31261.0
2815,St. Asaph & Montgomery St,31931.0
2903,Sunset Hills & Old Reston Ave,32213.0
3027,Pershing Dr & Wayne St,31065.0
3369,S George Mason & Four Mile Run Dr,31063.0
3568,Pershing Dr & N George Mason Dr,31069.0
3709,Georgia Ave and Fairmont St NW,31207.0
4308,Ft Myer Dr & Arlington Blvd,31937.0
4537,Lee Hwy & N Scott St,31080.0
4758,Fern St & Army Navy Dr,31936.0
6983,Four Mile Run Dr & S Shirlington Rd,31057.0
7865,Key Blvd & N Quinn St,31027.0
13379,Four Mile Run Dr & S Walter Reed Dr,31059.0
13605,3rd & M st SE,31669.0
18902,White Flint Metro,32075.0
21342,Radford St & Osage St,31908.0
22007,State Theatre / Park Pl & N Washington St,32601.0
29858,Reston Regional Library,32211.0
32100,Wiehle Ave & Reston Station Blvd,32215.0
45233,Tysons Corner Station,32204.0
66877,Arlington Blvd & Ft Myer Dr,31937.0
89253,Wilson Blvd & N Quinn St,31027.0
97611,N Pitt St & Montgomery St,31931.0
155768,Anacostia Roller Skating Pavillion,31720.0
241945,15th & Harvard St NW,31103.0
357003,Thomas Jefferson St NW & Water/K St NW,31293.0
607419,N Moore St & Rosslyn Metro,31947.0
615577,Rosslyn Metro / Wilson Blvd & N Moore St,31947.0
1255230,Fairway Dr & Hook Rd,32243.0
1311759,Langston Blvd & N Monroe St,31092.0
1311766,Langston Blvd & N Adams St,31030.0
1312178,Langston Blvd & N Scott St,31080.0
1313130,Langston Blvd & N Woodstock St,31900.0
1318965,Langston Blvd & N Cleveland St,31079.0
1322361,Langston Blvd & N Kirkwood St,31094.0
1365541,Meridian High School / Haycock Rd & Leesburg Pike,32600.0
1461945,Columbia Pike & George Mason Dr,31923.0
1473586,1st & N St SE,31209.0
1486509,15th & Euclid St NW,31117.0
1504388,Wilson Blvd & Ft Myer Dr,31015.0
1509040,Long Bridge Aquatic ctr,31950.0
1550002,S Randolph St & Campbell Ave,31076.0
1839638,Long Bridge Aquatic Center,31950.0
1969377,W&OD Trail bridge & N Washington St,31948.0
1987591,W&OD Trail & Langston Blvd,31948.0
2062374,11th & V st NW,31332.0
2065644,Arizona & McArthur NW,31331.0
2094826,Arizona Ave & MacArthur Blvd NW,31331.0
2585823,Reed and Edison,31956.0
2844125,Braddock Rd Metro North,31047.0
2979611,Georgia Ave & Fairmont St NW,31207.0
3015780,Connecticut Ave & Macomb St NW / Cleveland Park,31305.0
3137146,First and Fayette,31970.0
3197981,New Jersey Ave & K St NW,31642.0
3243600,First St & Fayette St,31970.0
3617203,Columbia Pike & Monroe St,31058.0
3674862,S Wakefield St & 28th Rd S,31972.0
3717634,Reed & Edison,31956.0
3821870,1st & I St SE,31628.0
3869997,N Pershing Dr & Quebec St,31973.0
3955801,4th & G St SW,31666.0
4131664,Eden Center,32601.0
4267656,GMU/Fairfax Dr & Kenmore St,31040.0
4293926,3rd & M St SE,31669.0
4633374,Fairfax Dr & N Taylor St,31974.0
4698788,Fairfax Dr & N Taylor St,31049.0
4904915,10th & Rhode Island Ave NE,31535.0
4905931,10th St & Florida Ave NW,31120.0
4926108,10th St & Rhode Island Ave NE,31535.0
5087856,Anacostia Roller Skating Pavilion,31720.0
5090732,Kenilworth Terr & Hayes St. NE,31717.0
5091223,14th St & Luzon Ave NW,31416.0
5149892,Mandeville Ln & Stovall St,31974.0
5224593,North Bethesda Metro,32075.0
5334181,Langston Blvd & N Kirkwood Rd,31094.0
5358047,Virginia Ave & C St NW,31261.0
5441345,11th & V St NW,31332.0
5461389,Wiehle-Reston Metro South,32215.0
5753284,Reston Town Center Metro North,32243.0
5947915,19th St N & Ft Myer Dr,31014.0
6077780,Founders Row/W Broad St & West St,32600.0
6118087,S Kenmore St & 24th St S,31061.0
6118106,Army Navy Dr & Fern St,31936.0
6118616,S Four Mile Run Dr & Walter Reed Dr,31059.0
6118673,Columbia Pike & S George Mason Dr,31923.0
6118777,S Troy St & 26th St S,31056.0
6118870,N Pershing Dr & N Wayne St,31065.0
6119876,Pentagon Row Plaza / Army Navy Dr & Joyce St,31006.0
6121219,N Pershing Dr & N George Mason Dr,31069.0
6121357,N Pershing Dr & N Quebec St,31973.0
6121655,Wilson Blvd & N Vermont St,31926.0
6122921,S George Mason Dr & S Four Mile Run Dr,31063.0
6133666,S Wakefield St & 28th St S,31972.0
6135691,S Four Mile Run Dr & Shirlington Rd,31057.0
6351825,7th St & Florida Ave NW,31109.0
6361203,Greensboro Metro East,32211.0
6617861,19th & I St NW,31253.0
6683813,W&OD Trail/Sunset Hills Rd & Old Reston Ave,32213.0
6685707,W&OD Trail/Sunset Hills Rd & Isaac Newton Sq,32220.0
6689879,Tysons Metro North,32204.0
6699050,W&OD Trail & Explorer St/Reston Bus Station,32214.0
6702921,Tysons Metro South,32203.0
7295403,14th St & Rhode Island Ave NW,31203.0
7337216,Kenwood Ave & Osage St,31908.0
7444575,M St & Delaware Ave NE,31627.0
